filename,r,sample_time,shannon,simpson
clustered_9,1,500,0.80182,0.46
clustered_9,1,600,0.39831,0.23554
clustered_9,2,0,1.12209,0.63138
clustered_9,2,100,1.08126,0.59346
clustered_9,2,200,1.1982,0.64208
clustered_9,2,300,0.83938,0.41858
clustered_9,2,400,0.56605,0.26394
clustered_9,2,500,0.95811,0.50549
clustered_9,2,600,0.18082,0.08434
clustered_9,3,0,1.22432,0.66535
clustered_9,3,100,1.08312,0.5908
clustered_9,3,200,1.29622,0.66201
clustered_9,3,300,0.87953,0.40929
clustered_9,3,400,0.57328,0.2639
clustered_9,3,500,0.99677,0.52545
clustered_9,3,600,0.36365,0.17873
clustered_9,4,0,1.50601,0.71644
clustered_9,4,100,1.10508,0.59549
clustered_9,4,200,1.34189,0.67097
clustered_9,4,300,0.89369,0.40216
clustered_9,4,400,0.66016,0.30971
clustered_9,4,500,0.90096,0.46302
clustered_9,4,600,0.31391,0.1471
clustered_9,5,0,1.47393,0.70925
clustered_9,5,100,1.12029,0.59272
