filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,500,3,5,10,0,0,7,0,2,0,0,0
random_1,500,3,6,44,0,0,0,0,1,0,0,0
random_1,500,3,7,0,0,2,0,0,0,0,0,0
random_1,500,3,8,0,0,15,0,0,1,0,0,0
random_1,500,3,9,0,0,8,0,0,0,0,0,0
random_1,500,3,10,36,0,9,2,0,0,0,0,0
random_1,500,3,11,26,0,2,3,0,0,0,0,0
random_1,500,4,0,8,0,2,1,0,1,0,0,0
random_1,500,4,1,2,0,3,8,0,0,0,0,0
random_1,500,4,2,0,0,18,0,0,0,0,0,0
random_1,500,4,3,0,0,5,0,0,0,0,0,0
random_1,500,4,4,104,0,1,0,0,0,0,1,0
random_1,500,4,5,12,0,0,8,0,3,0,0,0
random_1,500,4,6,77,0,3,0,0,1,0,0,0
random_1,500,4,7,0,0,2,0,0,0,0,0,0
random_1,500,4,8,0,0,18,0,0,1,0,0,0
random_1,500,4,9,0,0,21,0,0,0,0,0,0
random_1,500,4,10,56,0,20,3,0,0,0,0,0
random_1,500,4,11,48,0,5,6,0,0,0,0,0
random_1,500,5,0,13,0,3,8,0,1,0,0,0
random_1,500,5,1,2,0,6,9,0,1,0,0,0
random_1,500,5,2,0,0,31,0,0,0,0,0,0
random_1,500,5,3,0,0,11,0,0,0,0,0,0
random_1,500,5,4,141,0,1,0,0,0,0,2,0
random_1,500,5,5,21,0,0,16,0,4,0,0,0
random_1,500,5,6,115,0,3,0,0,1,0,0,0
random_1,500,5,7,0,0,5,0,0,0,0,0,0
random_1,500,5,8,0,0,30,0,0,2,0,0,0
random_1,500,5,9,0,0,27,0,0,0,0,0,0
random_1,500,5,10,74,0,32,4,0,0,0,0,0
random_1,500,5,11,65,0,6,7,0,0,0,0,0
random_1,600,1,0,7,0,1,0,0,0,0,0,0
random_1,600,1,1,2,0,0,0,0,0,0,0,0
random_1,600,1,2,0,0,4,0,0,0,0,0,0
random_1,600,1,3,0,0,0,0,0,0,0,0,0
random_1,600,1,4,0,0,0,0,0,0,0,0,0
random_1,600,1,5,6,0,0,0,0,0,0,0,0
random_1,600,1,6,0,0,0,0,0,0,0,0,0
random_1,600,1,7,0,0,0,0,0,0,0,0,0
random_1,600,1,8,3,0,5,0,0,0,0,0,0
random_1,600,1,9,0,0,1,0,0,0,0,0,0
random_1,600,1,10,0,0,5,0,0,0,0,0,0
random_1,600,1,11,0,0,0,0,0,0,0,0,0
random_1,600,2,0,14,0,1,0,0,0,0,0,0
random_1,600,2,1,10,0,0,0,0,0,0,0,0
random_1,600,2,2,0,0,11,0,0,1,0,0,0
random_1,600,2,3,0,0,0,0,0,0,0,0,0
random_1,600,2,4,0,0,0,0,0,0,0,0,0
random_1,600,2,5,14,0,0,0,0,0,0,0,0
random_1,600,2,6,0,0,2,0,0,0,0,0,0
random_1,600,2,7,0,0,2,0,0,0,0,0,0
random_1,600,2,8,3,0,6,0,0,0,0,0,0
random_1,600,2,9,0,0,9,0,0,3,0,0,0
random_1,600,2,10,0,0,9,0,0,0,0,0,0
