filename,r,type_id,ae,ser
random_8,5,7,0.004059837867546021,0.004059837867546021
random_8,5,8,0.021673866090712743,-0.021673866090712743
random_9,1,0,0.013437012255456458,-0.013437012255456458
random_9,1,1,0.014005387580697597,-0.014005387580697597
random_9,1,2,0.01411088129565038,0.01411088129565038
random_9,1,3,0.014582481950687922,-0.014582481950687922
random_9,1,4,0.03206760512866493,-0.03206760512866493
random_9,1,5,0.020943747094374708,-0.020943747094374708
random_9,1,6,0.05,-0.05
random_9,1,7,0.05,-0.05
random_9,1,8,0.05,-0.05
random_9,2,0,0.010624481548259717,-0.010624481548259717
random_9,2,1,0.01605970025776787,-0.01605970025776787
random_9,2,2,0.009100978454164526,0.009100978454164526
random_9,2,3,0.02380368818961995,-0.02380368818961995
random_9,2,4,0.038504923936758424,-0.038504923936758424
random_9,2,5,0.0231789719897722,-0.0231789719897722
random_9,2,6,0.05,-0.05
random_9,2,7,0.05,-0.05
random_9,2,8,0.05,-0.05
random_9,3,0,0.008135379032497638,-0.008135379032497638
random_9,3,1,0.017256513863731365,-0.017256513863731365
random_9,3,2,0.009429769328031457,0.009429769328031457
random_9,3,3,0.025480179812014718,-0.025480179812014718
random_9,3,4,0.03684957709435428,-0.03684957709435428
random_9,3,5,0.011645746164574618,-0.011645746164574618
random_9,3,6,0.012807996280799632,-0.012807996280799632
random_9,3,7,0.03736176935229068,-0.03736176935229068
random_9,3,8,0.00956532726813242,-0.00956532726813242
random_9,4,0,0.0058568793261441375,-0.0058568793261441375
random_9,4,1,0.015591291335748454,-0.015591291335748454
random_9,4,2,0.010933856396714065,0.010933856396714065
random_9,4,3,0.023752554147936252,-0.023752554147936252
random_9,4,4,0.03760774380585194,-0.03760774380585194
random_9,4,5,0.010313589609483954,-0.010313589609483954
random_9,4,6,0.00464396404772974,-0.00464396404772974
random_9,4,7,0.01917535545023697,-0.01917535545023697
random_9,4,8,0.025344958301743742,-0.025344958301743742
random_9,5,0,0.0072182993183287966,-0.0072182993183287966
random_9,5,1,0.014595459744089915,-0.014595459744089915
random_9,5,2,0.008889317142791725,0.008889317142791725
random_9,5,3,0.02052251055714481,-0.02052251055714481
random_9,5,4,0.037260976120027496,-0.037260976120027496
random_9,5,5,0.012845914690841467,-0.012845914690841467
random_9,5,6,0.0017313652564698674,-0.0017313652564698674
random_9,5,7,0.008562401263823075,-0.008562401263823075
random_9,5,8,0.00028430629264594525,-0.00028430629264594525
random_10,1,0,0.014795550157539911,-0.014795550157539911
random_10,1,1,0.040903715832082584,-0.040903715832082584
random_10,1,2,0.003995235908148833,0.003995235908148833
random_10,1,3,0.018870523415977964,0.018870523415977964
random_10,1,4,0.015289076906388987,-0.015289076906388987
random_10,1,5,0.009911630345240766,0.009911630345240766
random_10,1,6,0.06820330969267138,0.06820330969267138
random_10,1,7,0.0023080946776513605,0.0023080946776513605
random_10,1,8,0.05000000000000001,-0.05000000000000001
random_10,2,0,0.011545921271115341,-0.011545921271115341
random_10,2,1,0.03833813730840951,-0.03833813730840951
random_10,2,2,0.012808686483576727,0.012808686483576727
random_10,2,3,0.008735664450832428,0.008735664450832428
random_10,2,4,0.01662425425751167,-0.01662425425751167
random_10,2,5,0.0010339904890286904,-0.0010339904890286904
random_10,2,6,0.0045371601654846435,-0.0045371601654846435
random_10,2,7,0.010355041192624554,0.010355041192624554
random_10,2,8,0.05000000000000001,-0.05000000000000001
random_10,3,0,0.011791437104316651,-0.011791437104316651
random_10,3,1,0.0345363169145404,-0.0345363169145404
random_10,3,2,0.010448325077659314,0.010448325077659314
random_10,3,3,0.0038986704994610154,0.0038986704994610154
random_10,3,4,0.01702462306106953,-0.01702462306106953
random_10,3,5,0.005066277241069428,-0.005066277241069428
random_10,3,6,0.01453900709219859,-0.01453900709219859
random_10,3,7,0.01861514319340918,-0.01861514319340918
random_10,3,8,0.03235164350319877,-0.03235164350319877
random_10,4,0,0.013765186319550798,-0.013765186319550798
random_10,4,1,0.03336044215521293,-0.03336044215521293
random_10,4,2,0.0096645710588828,0.0096645710588828
random_10,4,3,0.00477501048029703,0.00477501048029703
random_10,4,4,0.01507755721878729,-0.01507755721878729
random_10,4,5,0.00342263910731671,-0.00342263910731671
random_10,4,6,0.006754949763593398,-0.006754949763593398
random_10,4,7,0.005347194978422912,-0.005347194978422912
random_10,4,8,0.039238914626075455,-0.039238914626075455
random_10,5,0,0.01417994167796143,-0.01417994167796143
random_10,5,1,0.03222993511317293,-0.03222993511317293
random_10,5,2,0.00856144262759256,0.00856144262759256
random_10,5,3,0.006942261049227442,0.006942261049227442
random_10,5,4,0.011590085692591396,-0.011590085692591396
random_10,5,5,0.0021195143413465195,-0.0021195143413465195
random_10,5,6,0.006399970449172584,-0.006399970449172584
random_10,5,7,0.007123708643912662,-0.007123708643912662
random_10,5,8,0.021067725568056486,-0.021067725568056486
random_11,1,0,0.011952668677423886,-0.011952668677423886
random_11,1,1,0.04235837058627672,-0.04235837058627672
random_11,1,2,0.015660854534275334,-0.015660854534275334
random_11,1,3,0.018707105620630556,-0.018707105620630556
random_11,1,4,0.019110776477856285,-0.019110776477856285
random_11,1,5,0.031051858694236215,-0.031051858694236215
random_11,1,6,0.005182072829131653,-0.005182072829131653
random_11,1,7,0.001361068310220848,0.001361068310220848
random_11,1,8,0.05000000000000001,-0.05000000000000001
random_11,2,0,0.008651609214090344,-0.008651609214090344
random_11,2,1,0.038243673822506784,-0.038243673822506784
random_11,2,2,0.007522291441896079,-0.007522291441896079
random_11,2,3,0.01717535400086766,-0.01717535400086766
random_11,2,4,0.0381196185180895,-0.0381196185180895
random_11,2,5,0.004451688160964464,-0.004451688160964464
random_11,2,6,0.0017128851540616264,0.0017128851540616264
random_11,2,7,0.01049146122239343,-0.01049146122239343
random_11,2,8,0.05000000000000001,-0.05000000000000001
random_11,3,0,0.008767310706231473,-0.008767310706231473
random_11,3,1,0.03733672840011572,-0.03733672840011572
random_11,3,2,0.007864940428543247,-0.007864940428543247
random_11,3,3,0.007327871300859839,-0.007327871300859839
random_11,3,4,0.03764431059114251,-0.03764431059114251
random_11,3,5,0.003577053800878718,-0.003577053800878718
random_11,3,6,0.01414565826330532,-0.01414565826330532
random_11,3,7,0.008911145351823321,-0.008911145351823321
random_11,3,8,0.03294970161977835,-0.03294970161977835
random_11,4,0,0.007053770612197043,-0.007053770612197043
random_11,4,1,0.03655391169551382,-0.03655391169551382
random_11,4,2,0.005293477882574039,-0.005293477882574039
random_11,4,3,0.013225728448797,-0.013225728448797
random_11,4,4,0.036815658905749254,-0.036815658905749254
